Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
9/19/14,92.699997,99.699997,89.949997,93.889999,93.889999,271879400,0,Neutral,0,0,0,0,50,0,0
9/22/14,92.699997,92.949997,89.5,89.889999,89.889999,66657800,-0.042603047,Down,0,0,0,0,95.91378073,40.41027692,0
9/23/14,88.940002,90.480003,86.620003,87.169998,87.169998,39009800,-0.030259217,Down,0,0,0,0,96.48494427,3.823520732,0
9/24/14,88.470001,90.57,87.220001,90.57,90.57,32088000,0.039004268,Up,0,0,0,0,34.86678962,4.204856669,0
9/25/14,91.089996,91.5,88.5,88.919998,88.919998,28598000,-0.018217975,Down,0,0,0,0,29.98379227,30.19876768,0
9/26/14,89.730003,90.459999,88.660004,90.459999,90.459999,18340000,0.01731895,Up,0,0,0,0,38.21024248,17.5840677,0
9/29/14,89.620003,89.699997,88.019997,88.75,88.75,25302000,-0.018903372,Down,0,0,0,0,33.86705089,29.35778105,0
9/30/14,89,90.879997,88.459999,88.849998,88.849998,24419400,0.001126738,Up,0,0,0,0,34.31209013,16.2843882,0
10/1/14,88.699997,88.940002,86.040001,86.099998,86.099998,24029600,-0.030951042,Down,0,0,0,0,28.9588778,17.04889926,0
10/2/14,86.269997,88.199997,85.611,87.059998,87.059998,21469700,0.011149826,Up,0,0,0,0,32.73914501,0.43921682,0
10/3/14,88.099998,89.940002,87.650002,88.099998,88.099998,18485700,0.011945785,Up,0,0,0,0,36.36693489,10.2846072,0
10/6/14,89.150002,89.650002,88.059998,88.309998,88.309998,9268400,0.002383655,Up,0,0,0,0,37.04448625,17.66625403,0
10/7/14,87.949997,89.699997,87.059998,87.669998,87.669998,12791700,-0.007247198,Down,89.00583192,0,0,0,35.8828426,19.15677887,0
10/8/14,88,88.5,87.059998,88.300003,88.300003,10252600,0.007186096,Up,88.89724285,0,0,0,37.81636131,14.61422697,0
10/9/14,88.510002,90.349998,88,88.790001,88.790001,21507000,0.005549241,Up,88.88074411,0,0,0,38.39826655,19.08583698,17.61894761
10/10/14,88.25,88.739998,85.239998,85.879997,85.879997,15431400,-0.032774006,Down,88.41909071,0,0,0,34.84404082,43.31655947,25.67220781
10/13/14,86.849998,86.889999,84.919998,85.120003,85.120003,14845000,-0.008849488,Down,87.91153875,0,0,0,40.07051098,10.22362293,24.20867313
10/14/14,85.809998,85.879997,83.220001,84.949997,84.949997,15559200,-0.001997251,Down,87.45591694,0,0,0,44.89248165,3.039588742,18.85992371
10/15/14,84.040001,86.489998,82.809998,85.599998,85.599998,16824300,0.007651572,Up,87.17039095,0,0,0,33.78807304,20.89367402,11.38562856
10/16/14,84.980003,89.175003,84.014999,88.849998,88.849998,15232000,0.037967291,Up,87.42879204,0,0,0,42.62377842,34.57249499,19.50191925
10/17/14,90.400002,90.900002,87.669998,87.910004,87.910004,17360700,-0.010579561,Down,87.50282465,0,0,0,45.16189134,74.8451146,43.43709454
10/20/14,88,89.5,87.860001,88.260002,88.260002,9891400,0.003981322,Up,87.61931347,0,0,0,47.99973484,63.0408341,57.4861479
10/21/14,89.099998,92.5,88.5,90.900002,90.900002,23243800,0.029911624,Up,88.12403478,0,0,0,49.06315625,67.36713604,68.41769491
10/22/14,92.25,93.5,91.010002,91.629997,91.629997,20364500,0.008030748,Up,88.66341358,0,0,0,64.32245299,83.48815614,71.29870876
10/23/14,92.919998,94.699997,92.82,94.449997,94.449997,20641000,0.030775948,Up,89.55365719,0,0,0,60.9679586,82.50699111,77.78742776
10/24/14,95.07,98,94.779999,95.760002,95.760002,32132600,0.013869826,Up,90.50847947,0,0,0,66.01496758,97.89739259,87.96417995
10/27/14,97,98.849998,96.300003,97.790001,97.790001,28302400,0.02119882,Up,91.62871355,88.92846085,2.700252702,0.54005054,66.56074833,85.25347133,88.55261834
10/28/14,99.839996,100.669998,98.610001,99.68,99.68,32127600,0.019327119,Up,92.867373,89.72487115,3.142501848,1.060540802,71.3632363,93.3915399,92.18080127
10/29/14,99.879997,100,96.82,98.309998,98.309998,28655400,-0.013744001,Down,93.70469992,90.36080648,3.343893449,1.517211331,80.57832413,94.4568981,91.03396978
10/30/14,98.480003,99.440002,97.300003,98.730003,98.730003,15484600,0.004272251,Up,94.47782347,90.98074696,3.497076516,1.913184368,70.96570404,86.78611422,91.54485074
10/31/14,100.099998,100.220001,98.136002,98.599998,98.599998,18128300,-0.001316773,Down,95.11200417,91.54513593,3.566868246,2.243921144,83.87534595,89.13776596,90.12692609
11/3/14,99.669998,102.800003,99.050003,101.800003,101.800003,40883700,0.032454412,Up,96.14092707,92.30475571,3.83617136,2.562371187,77.20124482,88.40985442,88.11124487
11/4/14,100.425003,106.359001,99.510002,106.07,106.07,67814000,0.041944959,Up,97.66847675,93.32440343,4.344073316,2.918711613,78.24015005,94.9975,90.84837346
11/5/14,108.480003,110.139999,106.480003,108.669998,108.669998,48344000,0.024512096,Up,99.36101848,94.46111414,4.899904338,3.314950158,83.84766218,98.70658354,94.03797932
11/6/14,109.300003,111.699997,107.209999,111.57,111.57,33609000,0.026686317,Up,101.2393233,95.72843902,5.510884309,3.754136988,82.64842119,93.45793977,95.72067444
11/7/14,112.93,114.769997,111.75,114.559998,114.559998,51457000,0.026799301,Up,103.2886579,97.12336932,6.165288579,4.236367306,86.6802565,99.45471048,97.20641126
11/10/14,117.269997,119.449997,115.199997,119.150002,119.150002,75971000,0.040066376,Up,105.7288647,98.75497174,6.973892943,4.783872434,84.72765241,99.20061278,97.37108767
11/11/14,117.25,117.550003,113.690002,114.540001,114.540001,70983600,-0.038690734,Down,107.0844241,99.92423316,7.16019095,5.259136137,100,98.94516507,99.20016278
11/12/14,115.050003,119.07,114.019997,118.199997,118.199997,53908000,0.031953867,Up,108.7945123,101.2779934,7.516518802,5.71061267,78.20342471,81.5621609,93.23597958
11/13/14,119.300003,120,114.550003,114.839996,114.839996,62163000,-0.028426405,Down,109.7245867,102.2825862,7.442000444,6.056890225,91.60466131,94.93311674,91.8134809
11/14/14,115.059998,115.389999,113.349998,115.099998,115.099998,29849000,0.002264037,Up,110.551573,103.2320241,7.319548893,6.309421958,76.24943181,78.22782847,84.90770203
11/17/14,115.440002,115.629997,113.129997,114.25,114.25,22573000,-0.007384865,Down,111.1205618,104.0481705,7.072391297,6.462015826,76.55209997,78.86107852,84.00734124
11/18/14,114.330002,114.379997,110.410004,110.809998,110.809998,41098000,-0.030109427,Down,111.0727828,104.5490466,6.523736141,6.474359889,77.6515481,75.19413287,77.42767995
11/19/14,109.830002,110.68,107.220001,108.82,108.82,46841000,-0.01795865,Down,110.7262008,104.8654135,5.860787261,6.351645363,70.96323289,59.51540434,71.19020524
11/20/14,107.809998,112.440002,107.260002,109.82,109.82,36489000,0.009189487,Up,110.5867853,105.2324199,5.35436535,6.152189361,63.87761164,48.86571065,61.19174929
11/21/14,113.209999,113.5,110.434998,110.730003,110.730003,27432000,0.008286314,Up,110.6088188,105.6396483,4.969170469,5.915585582,65.0550453,51.4081076,53.2630742
11/24/14,112,113.93,111.550003,113.919998,113.919998,20646000,0.028808768,Up,111.118231,106.2530075,4.865223421,5.70551315,61.24496789,54.75842897,51.67741574
11/25/14,114.940002,115.169998,112.330002,113.470001,113.470001,23485000,-0.003950114,Down,111.4800417,106.7875997,4.692442088,5.502898938,62.15443126,55.02956103,53.73203253
11/26/14,113.330002,113.739998,112.330002,112.669998,112.669998,11794700,-0.007050348,Down,111.6631119,107.2233329,4.439779071,5.290274964,58.32797039,48.94449969,52.9108299
11/28/14,113.139999,113.230003,111.110001,111.639999,111.639999,8077800,-0.009141733,Down,111.6595561,107.5504933,4.10906278,5.054032527,52.6407025,42.6447373,48.87293267
12/1/14,110.019997,110.050003,103.896004,105.989998,105.989998,38464200,-0.05060911,Down,110.7873164,107.4349011,3.352415319,4.713709086,42.82347927,34.58527657,42.05817119
12/2/14,107.349998,110,106.610001,109.889999,109.889999,18785000,0.036795934,Up,110.6492676,107.6167602,3.032507383,4.377468745,34.02345283,13.0029466,30.07765349
12/3/14,110.400002,111.68,108.797997,110.639999,110.639999,16221100,0.006825007,Up,110.6478416,107.8407038,2.807137834,4.063402563,43.48770805,37.22054452,28.26958923
12/4/14,110.099998,110.5,108.910004,109.169998,109.169998,10779300,-0.013286343,Down,110.4204811,107.93917,2.481311039,3.746984258,35.68610457,41.87777369,30.7004216
12/5/14,109.599998,110.349998,107.760002,107.900002,107.900002,12148100,-0.011633196,Down,110.0327151,107.9362687,2.096446364,3.416876679,38.5478893,44.94628555,41.34820125
12/8/14,105.970001,107.400002,104.209999,105.07,105.07,19217300,-0.026228007,Down,109.2692204,107.7239525,1.545267939,3.042554931,33.41311602,34.1230645,40.31570791
12/9/14,102.269997,107.949997,101.199997,107.480003,107.480003,24866800,0.022937118,Up,108.9939562,107.7058822,1.288074051,2.691658755,37.05661663,10.41331049,29.82755351
12/10/14,107.089996,107.379997,103.510002,103.879997,103.879997,18466700,-0.033494659,Down,108.2071933,107.4224833,0.784709996,2.310269003,42.51905084,44.95351146,29.82996215
